"date","passages","hospitalisations"
"2014-01-01",972,222
"2014-01-02",1055,204
"2014-01-03",1038,184
"2014-01-04",982,194
"2014-01-05",918,167
"2014-01-06",1000,143
"2014-01-07",994,195
"2014-01-08",965,199
"2014-01-09",964,182
"2014-01-10",903,147
"2014-01-11",973,169
"2014-01-12",837,177
"2014-01-13",1030,148
"2014-01-14",890,240
"2014-01-15",840,225
"2014-01-16",958,188
"2014-01-17",885,198
"2014-01-18",964,198
"2014-01-19",929,187
"2014-01-20",977,200
"2014-01-21",871,241
"2014-01-22",922,217
"2014-01-23",913,225
"2014-01-24",882,206
"2014-01-25",936,202
"2014-01-26",899,208
"2014-01-27",1012,190
"2014-01-28",957,217
"2014-01-29",904,184
"2014-01-30",931,179
"2014-01-31",936,199
"2014-02-01",1049,204
"2014-02-02",1048,192
"2014-02-03",1193,172
"2014-02-04",1030,218
"2014-02-05",989,214
"2014-02-06",1109,191
"2014-02-07",933,191
"2014-02-08",1131,213
"2014-02-09",1094,225
"2014-02-10",1203,185
"2014-02-11",1055,239
"2014-02-12",1024,145
"2014-02-13",1071,197
"2014-02-14",1043,203
"2014-02-15",1067,219
"2014-02-16",1108,192
"2014-02-17",1272,166
"2014-02-18",1083,225
"2014-02-19",1026,216
"2014-02-20",1066,189
"2014-02-21",1042,224
"2014-02-22",982,218
"2014-02-23",1056,194
"2014-02-24",1163,187
"2014-02-25",995,259
"2014-02-26",955,188
"2014-02-27",974,186
"2014-02-28",1038,198
"2014-03-01",1080,213
"2014-03-02",1024,181
"2014-03-03",1156,206
"2014-03-04",1038,200
"2014-03-05",846,209
"2014-03-06",827,174
"2014-03-07",843,221
"2014-03-08",1014,207
"2014-03-09",1193,170
"2014-03-10",1138,165
"2014-03-11",1033,223
"2014-03-12",1058,183
"2014-03-13",1003,188
"2014-03-14",1069,228
"2014-03-15",1103,205
"2014-03-16",1154,178
"2014-03-17",990,144
"2014-03-18",768,236
"2014-03-19",995,182
"2014-03-20",1119,198
"2014-03-21",1141,192
"2014-03-22",1059,207
"2014-03-23",1103,148
"2014-03-24",1220,123
"2014-03-25",1042,217
"2014-03-26",993,193
"2014-03-27",981,177
"2014-03-28",981,224
"2014-03-29",1054,174
"2014-03-30",1225,213
"2014-03-31",1177,193
"2014-04-01",1064,185
"2014-04-02",1119,255
"2014-04-03",1121,227
"2014-04-04",1174,220
"2014-04-05",1142,253
"2014-04-06",1242,177
"2014-04-07",1292,198
"2014-04-08",1071,248
"2014-04-09",1041,215
"2014-04-10",1133,220
"2014-04-11",1175,214
"2014-04-12",1254,257
"2014-04-13",1248,175
"2014-04-14",1311,210
"2014-04-15",1066,235
