"","3Fr","Alk","Col","Dia","Geb","Hag","Hus","Mul","Odi","Sel","Wis","Sav","total","mean","hosp","hosp"
"2013-01-01",59,47,208,88,45,131,126,0,84,111,32,0,931,77.5833333333333,194,222
"2013-01-02",38,48,197,89,42,112,125,0,69,80,49,0,849,70.75,265,204
"2013-01-03",39,36,160,73,42,83,121,0,55,78,35,0,722,60.1666666666667,264,184
"2013-01-04",42,45,170,93,30,92,121,0,67,65,24,0,749,62.4166666666667,237,194
"2013-01-05",46,38,150,87,44,100,102,0,70,85,38,0,760,63.3333333333333,184,167
"2013-01-06",38,50,167,77,43,90,93,0,79,68,36,0,741,61.75,242,143
"2013-01-07",37,33,171,79,34,84,119,180,57,84,31,0,909,75.75,231,195
"2013-01-08",42,40,168,69,44,82,113,0,69,84,23,0,734,61.1666666666667,228,199
"2013-01-09",36,31,185,85,43,91,96,0,61,56,30,0,714,59.5,225,182
"2013-01-10",44,39,184,66,45,81,77,0,64,75,37,0,712,59.3333333333333,222,147
"2013-01-11",32,33,168,70,24,67,128,0,56,71,26,0,675,56.25,199,169
"2013-01-12",34,34,163,75,33,95,116,0,72,64,31,0,717,59.75,162,177
"2013-01-13",53,51,149,71,41,97,76,0,67,75,29,0,709,59.0833333333333,215,148
"2013-01-14",37,53,173,86,39,103,123,168,63,64,35,0,944,78.6666666666667,220,240
"2013-01-15",36,39,151,81,48,93,113,157,49,89,33,0,889,74.0833333333333,253,225
"2013-01-16",50,34,160,68,29,98,117,149,57,63,26,0,851,70.9166666666667,244,188
"2013-01-17",41,31,187,66,38,78,103,153,54,71,22,0,844,70.3333333333333,238,198
"2013-01-18",43,38,184,73,33,93,105,81,71,78,25,0,824,68.6666666666667,228,198
"2013-01-19",47,30,159,82,37,103,69,178,58,88,26,0,877,73.0833333333333,182,187
"2013-01-20",37,42,168,66,45,134,122,174,91,93,41,0,1013,84.4166666666667,217,200
"2013-01-21",43,45,180,88,53,127,108,175,81,86,56,0,1042,86.8333333333333,225,241
"2013-01-22",54,37,197,73,41,95,126,180,67,63,34,0,967,80.5833333333333,224,217
"2013-01-23",45,49,172,80,37,79,121,171,71,70,30,0,925,77.0833333333333,216,225
"2013-01-24",53,49,206,88,46,91,100,192,79,82,31,0,1017,84.75,229,206
"2013-01-25",48,34,188,76,45,81,120,160,60,77,24,0,913,76.0833333333333,189,202
"2013-01-26",49,40,185,93,31,118,130,167,80,87,30,0,1010,84.1666666666667,192,208
"2013-01-27",37,38,198,80,34,93,104,199,86,98,44,0,1011,84.25,227,190
"2013-01-28",43,50,209,76,53,104,125,194,70,102,27,0,1053,87.75,218,217
"2013-01-29",38,47,188,77,31,94,98,172,67,73,31,0,916,76.3333333333333,227,184
"2013-01-30",42,36,170,93,34,95,102,161,60,78,16,0,887,73.9166666666667,204,179
"2013-01-31",50,32,171,77,32,109,109,177,72,86,38,0,953,79.4166666666667,232,199
"2013-02-01",57,57,198,90,30,82,92,172,60,84,31,0,953,79.4166666666667,220,204
"2013-02-02",57,47,212,88,35,116,98,197,63,82,39,0,1034,86.1666666666667,191,192
"2013-02-03",53,45,186,80,43,102,102,197,87,99,33,0,1027,85.5833333333333,255,172
"2013-02-04",44,47,184,86,43,112,104,190,75,84,41,0,1010,84.1666666666667,235,218
"2013-02-05",48,31,188,79,40,94,132,149,70,79,42,0,952,79.3333333333333,193,214
"2013-02-06",48,42,173,84,28,71,120,166,63,68,27,0,890,74.1666666666667,271,191
"2013-02-07",46,32,195,76,45,83,97,186,60,68,39,0,927,77.25,223,191
"2013-02-08",48,40,178,77,49,97,112,176,74,79,27,0,957,79.75,225,213
"2013-02-09",52,46,204,86,40,103,87,85,85,79,26,0,893,74.4166666666667,213,225
"2013-02-10",45,53,207,88,50,92,102,173,80,89,37,0,1016,84.6666666666667,269,185
"2013-02-11",54,42,202,74,44,96,108,181,72,92,47,0,1012,84.3333333333333,228,239
"2013-02-12",39,34,165,64,33,87,87,144,60,61,32,0,806,67.1666666666667,273,145
"2013-02-13",42,32,193,74,35,84,95,148,65,78,28,0,874,72.8333333333333,294,197
"2013-02-14",39,34,174,90,42,105,110,132,63,79,38,0,906,75.5,262,203
"2013-02-15",43,37,191,82,33,96,110,152,62,86,29,0,921,76.75,244,219
"2013-02-16",41,45,194,78,41,107,136,176,76,69,42,0,1005,83.75,183,192
"2013-02-17",40,44,213,74,36,109,92,182,94,92,30,0,1006,83.8333333333333,274,166
"2013-02-18",37,50,213,83,46,95,120,176,60,89,34,0,1003,83.5833333333333,266,225
"2013-02-19",38,33,194,74,34,92,118,173,59,75,27,0,917,76.4166666666667,253,216
"2013-02-20",40,36,202,81,28,74,106,145,59,73,32,0,876,73,241,189
"2013-02-21",46,30,191,79,39,98,111,167,73,54,26,0,914,76.1666666666667,254,224
"2013-02-22",35,32,190,80,32,104,102,163,60,66,31,0,895,74.5833333333333,229,218
"2013-02-23",56,35,140,87,40,96,105,195,61,91,39,0,945,78.75,220,194
"2013-02-24",46,42,155,69,38,99,103,184,60,70,35,0,901,75.0833333333333,312,187
"2013-02-25",37,40,195,79,36,123,118,181,73,78,32,0,992,82.6666666666667,227,259
"2013-02-26",39,33,157,64,32,90,105,125,57,69,27,0,798,66.5,218,188
"2013-02-27",40,27,146,67,36,76,107,137,54,67,29,0,786,65.5,225,186
"2013-02-28",45,45,174,72,42,73,114,154,64,81,35,0,899,74.9166666666667,261,198
"2013-03-01",43,36,165,76,41,88,130,141,60,71,36,0,887,73.9166666666667,235,213
"2013-03-02",39,49,183,68,40,100,103,177,64,78,30,0,931,77.5833333333333,199,181
"2013-03-03",48,47,192,76,45,109,114,179,76,88,38,0,1012,84.3333333333333,268,206
"2013-03-04",51,36,190,67,47,101,105,171,72,94,32,0,966,80.5,240,200
"2013-03-05",40,37,160,83,38,104,103,175,71,72,32,0,915,76.25,185,209
"2013-03-06",41,43,168,77,33,90,110,171,70,64,30,0,897,74.75,187,174
"2013-03-07",37,42,199,88,36,102,130,158,80,91,31,0,994,82.8333333333333,217,221
"2013-03-08",49,42,186,81,37,92,141,158,68,89,23,0,966,80.5,227,207
"2013-03-09",49,43,164,94,41,106,105,161,80,92,29,0,964,80.3333333333333,216,170
"2013-03-10",38,43,187,81,31,102,107,194,84,103,40,0,1010,84.1666666666667,288,165
"2013-03-11",44,61,193,104,49,95,111,166,72,102,32,0,1029,85.75,230,223
"2013-03-12",31,37,152,64,36,96,102,153,64,73,39,0,847,70.5833333333333,241,183
"2013-03-13",36,41,151,83,47,88,103,146,63,75,44,0,877,73.0833333333333,229,188
"2013-03-14",45,39,166,93,41,72,118,156,41,92,27,0,890,74.1666666666667,239,228
"2013-03-15",37,48,189,68,40,92,107,172,75,96,29,0,953,79.4166666666667,228,205
"2013-03-16",38,48,156,90,41,111,79,177,75,70,47,0,932,77.6666666666667,201,178
"2013-03-17",46,52,162,78,41,105,91,168,82,91,34,0,950,79.1666666666667,220,144
"2013-03-18",51,52,184,88,45,114,125,167,80,96,43,0,1045,87.0833333333333,210,236
"2013-03-19",41,40,159,69,39,81,116,0,64,82,28,0,719,59.9166666666667,203,182
"2013-03-20",42,43,143,73,42,112,112,143,63,57,26,0,856,71.3333333333333,241,198
"2013-03-21",36,45,200,64,48,93,108,144,57,69,46,0,910,75.8333333333333,262,192
"2013-03-22",35,46,218,70,36,82,120,170,63,92,34,0,966,80.5,205,207
"2013-03-23",54,53,179,79,40,83,102,0,87,83,30,0,790,65.8333333333333,211,148
"2013-03-24",45,46,172,73,37,104,76,0,88,103,30,0,774,64.5,264,123
"2013-03-25",42,30,209,86,44,112,141,0,79,101,43,0,887,73.9166666666667,226,217
"2013-03-26",39,41,167,88,34,82,103,0,76,85,21,0,736,61.3333333333333,254,193
"2013-03-27",39,35,154,86,36,74,114,0,70,64,25,0,697,58.0833333333333,229,177
"2013-03-28",51,60,193,70,40,94,118,162,66,82,28,0,964,80.3333333333333,252,224
"2013-03-29",31,42,168,83,30,91,107,99,98,100,41,0,890,74.1666666666667,214,174
"2013-03-30",57,61,214,80,50,115,118,192,88,95,41,0,1111,92.5833333333333,209,213
"2013-03-31",43,37,161,86,34,89,104,182,82,84,45,0,947,78.9166666666667,256,193
