"","3Fr","Alk","Col","Dia","Geb","Hag","Hus","Mul","Odi","Sav","Sel","Wis","","Dts","Ros","total","mean","hosp"
"2014-01-01",46,0,177,76,44,99,90,130,73,97,101,39,0,0,0,972,64.8,194
"2014-01-02",34,31,181,77,33,101,134,189,71,83,84,37,0,0,0,1055,70.3333333333333,265
"2014-01-03",36,38,199,82,34,86,117,187,61,93,75,30,0,0,0,1038,69.2,264
"2014-01-04",38,17,169,92,31,89,95,177,71,84,87,32,0,0,0,982,65.4666666666667,237
"2014-01-05",42,1,164,75,38,85,79,183,76,64,76,35,0,0,0,918,61.2,184
"2014-01-06",40,11,160,90,51,87,128,179,77,78,76,23,0,0,0,1000,66.6666666666667,242
"2014-01-07",47,19,181,81,34,89,114,161,61,80,88,39,0,0,0,994,66.2666666666667,231
"2014-01-08",36,18,185,83,34,92,91,166,65,73,94,28,0,0,0,965,64.3333333333333,228
"2014-01-09",50,36,175,57,37,90,116,147,61,91,74,30,0,0,0,964,64.2666666666667,225
"2014-01-10",38,18,160,79,38,84,110,161,67,59,62,27,0,0,0,903,60.2,222
"2014-01-11",16,7,162,88,36,108,130,177,70,67,72,40,0,0,0,973,64.8666666666667,199
"2014-01-12",49,7,186,84,30,101,91,110,60,76,12,31,0,0,0,837,55.8,162
"2014-01-13",49,18,179,83,44,84,122,174,76,97,68,36,0,0,0,1030,68.6666666666667,215
"2014-01-14",35,13,168,70,30,85,97,152,62,81,77,20,0,0,0,890,59.3333333333333,220
"2014-01-15",31,32,163,77,38,116,71,84,50,81,76,21,0,0,0,840,56,253
"2014-01-16",36,8,184,92,41,104,127,169,0,91,75,31,0,0,0,958,63.8666666666667,244
"2014-01-17",39,26,166,75,30,88,128,168,0,82,56,27,0,0,0,885,59,238
"2014-01-18",49,12,187,85,30,110,101,192,0,84,84,30,0,0,0,964,64.2666666666667,228
"2014-01-19",41,31,172,74,46,98,98,160,0,95,78,36,0,0,0,929,61.9333333333333,182
"2014-01-20",42,24,185,90,43,114,102,179,0,90,72,36,0,0,0,977,65.1333333333333,217
"2014-01-21",41,29,151,76,34,93,103,156,0,75,82,31,0,0,0,871,58.0666666666667,225
"2014-01-22",43,37,185,80,33,98,113,155,0,75,70,33,0,0,0,922,61.4666666666667,224
"2014-01-23",43,33,147,83,39,86,107,182,0,85,75,33,0,0,0,913,60.8666666666667,216
"2014-01-24",37,44,165,74,29,87,117,151,0,71,82,25,0,0,0,882,58.8,229
"2014-01-25",47,25,180,94,37,105,88,172,0,69,83,36,0,0,0,936,62.4,189
"2014-01-26",52,15,173,64,35,98,110,180,0,64,71,37,0,0,0,899,59.9333333333333,192
"2014-01-27",36,42,182,77,45,86,132,199,0,90,88,35,0,0,0,1012,67.4666666666667,227
"2014-01-28",47,39,188,80,31,100,109,183,0,82,66,32,0,0,0,957,63.8,218
"2014-01-29",39,31,159,67,35,90,122,185,0,80,65,31,0,0,0,904,60.2666666666667,227
"2014-01-30",50,38,166,75,32,106,115,174,0,82,64,29,0,0,0,931,62.0666666666667,204
"2014-01-31",14,45,185,83,37,84,126,180,0,86,72,24,0,0,0,936,62.4,232
"2014-02-01",52,18,180,81,51,101,108,164,69,86,78,31,0,30,0,1049,69.9333333333333,220
"2014-02-02",56,28,163,82,38,100,85,193,79,90,83,27,0,24,0,1048,69.8666666666667,191
"2014-02-03",45,56,179,81,50,106,132,193,75,114,93,37,0,32,0,1193,79.5333333333333,255
"2014-02-04",44,34,183,75,39,90,129,172,65,84,69,30,0,16,0,1030,68.6666666666667,235
"2014-02-05",36,34,175,86,39,94,102,166,65,79,65,32,0,0,16,989,65.9333333333333,193
"2014-02-06",49,45,185,79,43,109,127,175,83,82,68,44,0,0,20,1109,73.9333333333333,271
"2014-02-07",37,39,189,78,47,89,104,53,63,92,90,32,0,0,20,933,62.2,223
"2014-02-08",50,36,180,86,50,123,123,182,84,92,84,27,0,0,14,1131,75.4,225
"2014-02-09",42,32,190,75,43,116,93,194,92,74,99,33,0,0,11,1094,72.9333333333333,213
"2014-02-10",41,44,213,82,43,111,126,188,81,120,88,56,0,0,10,1203,80.2,269
"2014-02-11",42,39,177,73,40,100,124,162,72,96,71,35,0,0,24,1055,70.3333333333333,228
"2014-02-12",39,41,191,70,40,87,115,162,74,77,79,28,0,0,21,1024,68.2666666666667,273
"2014-02-13",41,41,182,74,44,92,108,176,80,73,104,35,0,0,21,1071,71.4,294
"2014-02-14",39,36,191,82,41,79,114,173,69,94,75,36,0,0,14,1043,69.5333333333333,262
"2014-02-15",41,33,163,86,46,95,121,192,71,67,90,38,0,0,24,1067,71.1333333333333,244
"2014-02-16",46,48,202,81,41,88,89,184,90,79,93,43,0,0,24,1108,73.8666666666667,183
"2014-02-17",55,48,211,97,51,114,139,208,80,102,87,52,0,0,28,1272,84.8,274
"2014-02-18",33,41,181,80,57,83,131,166,77,93,79,37,0,0,25,1083,72.2,266
"2014-02-19",43,39,191,70,42,87,107,157,67,87,81,36,0,0,19,1026,68.4,253
"2014-02-20",41,37,180,73,45,96,119,174,77,81,79,38,0,0,26,1066,71.0666666666667,241
"2014-02-21",37,32,208,80,37,97,108,165,68,88,76,28,0,0,18,1042,69.4666666666667,254
"2014-02-22",40,43,183,79,40,110,100,179,75,77,4,32,0,0,20,982,65.4666666666667,229
"2014-02-23",46,33,211,68,41,106,125,223,84,75,0,33,0,0,11,1056,70.4,220
"2014-02-24",39,41,199,109,46,92,132,178,79,108,87,29,0,0,24,1163,77.5333333333333,312
"2014-02-25",47,31,182,67,29,84,115,178,64,74,78,28,0,0,18,995,66.3333333333333,227
"2014-02-26",43,37,153,67,29,75,124,172,61,84,71,23,0,0,16,955,63.6666666666667,218
"2014-02-27",29,33,161,76,33,100,106,171,53,78,74,34,0,0,26,974,64.9333333333333,225
"2014-02-28",54,29,181,91,36,82,134,179,66,80,54,31,0,0,21,1038,69.2,261
"2014-03-01",41,33,187,85,42,108,101,179,56,88,104,43,0,0,13,1080,72,235
"2014-03-02",58,3,200,72,37,93,85,179,86,83,78,38,0,0,12,1024,68.2666666666667,199
"2014-03-03",49,54,208,84,40,105,130,179,64,95,75,38,0,0,35,1156,77.0666666666667,268
"2014-03-04",44,35,188,89,46,91,111,166,67,76,76,27,0,0,22,1038,69.2,240
"2014-03-05",40,32,184,81,34,67,112,0,66,78,99,29,0,0,24,846,56.4,185
"2014-03-06",44,31,180,76,35,86,125,0,64,57,77,32,0,0,20,827,55.1333333333333,187
"2014-03-07",34,41,168,74,47,93,115,0,50,73,95,34,0,0,19,843,56.2,217
"2014-03-08",35,42,171,84,44,108,125,116,81,71,73,38,0,0,26,1014,67.6,227
"2014-03-09",52,50,208,91,55,97,108,168,89,83,122,52,0,0,18,1193,79.5333333333333,216
"2014-03-10",40,39,204,79,45,97,140,171,77,93,87,33,0,0,33,1138,75.8666666666667,288
"2014-03-11",44,40,168,60,44,85,150,154,79,69,79,47,0,0,14,1033,68.8666666666667,230
"2014-03-12",50,37,182,81,45,100,101,169,67,80,83,40,0,0,23,1058,70.5333333333333,241
"2014-03-13",37,41,169,77,26,94,114,155,68,85,76,40,0,0,21,1003,66.8666666666667,229
"2014-03-14",40,40,177,68,42,108,132,140,73,88,92,42,0,0,27,1069,71.2666666666667,239
"2014-03-15",55,51,181,78,37,95,100,200,68,84,95,36,0,0,23,1103,73.5333333333333,228
"2014-03-16",47,51,204,81,54,117,100,184,58,83,114,47,0,0,14,1154,76.9333333333333,201
"2014-03-17",42,49,0,88,50,119,122,189,83,92,94,39,0,0,23,990,66,220
"2014-03-18",35,48,0,76,57,88,99,82,72,86,85,25,0,0,15,768,51.2,210
"2014-03-19",49,31,170,62,45,91,111,156,64,84,79,25,0,0,28,995,66.3333333333333,203
"2014-03-20",42,45,191,97,45,91,137,166,79,89,85,22,0,0,30,1119,74.6,241
"2014-03-21",51,27,192,85,46,87,169,175,78,92,82,29,0,0,28,1141,76.0666666666667,262
"2014-03-22",43,39,168,88,37,108,105,164,84,85,91,26,0,0,21,1059,70.6,205
"2014-03-23",36,37,192,77,40,119,104,183,104,76,89,29,0,0,17,1103,73.5333333333333,211
"2014-03-24",56,44,190,101,42,104,145,151,100,115,102,46,0,0,24,1220,81.3333333333333,264
"2014-03-25",38,35,166,73,38,93,131,179,82,80,80,32,0,0,15,1042,69.4666666666667,226
"2014-03-26",37,43,202,68,35,78,150,155,76,89,4,31,0,0,25,993,66.2,254
"2014-03-27",43,36,161,88,30,78,149,171,74,89,0,39,0,0,23,981,65.4,229
"2014-03-28",30,39,176,73,50,105,124,166,64,97,0,35,0,0,22,981,65.4,252
"2014-03-29",56,46,186,88,57,99,98,201,84,81,0,36,0,0,22,1054,70.2666666666667,214
"2014-03-30",45,59,210,85,50,123,109,179,92,95,115,45,0,0,18,1225,81.6666666666667,209
"2014-03-31",55,52,217,98,66,102,143,104,84,93,84,44,0,0,35,1177,78.4666666666667,256
"2014-04-01",46,30,183,86,38,93,133,170,69,84,80,34,0,0,18,1064,70.9333333333333,237
"2014-04-02",39,41,198,83,60,96,126,185,72,86,71,38,0,0,24,1119,74.6,236
"2014-04-03",34,43,201,90,49,112,127,170,68,79,87,36,0,0,25,1121,74.7333333333333,234
"2014-04-04",47,46,200,83,53,107,164,177,78,84,86,37,0,0,12,1174,78.2666666666667,265
"2014-04-05",49,42,206,81,46,113,117,173,90,77,97,31,0,0,20,1142,76.1333333333333,229
"2014-04-06",53,54,217,73,57,105,143,208,91,79,104,45,0,0,13,1242,82.8,207
"2014-04-07",52,49,230,103,50,110,154,195,101,84,81,51,0,0,32,1292,86.1333333333333,255
"2014-04-08",39,42,185,71,50,89,121,170,78,81,81,40,0,0,24,1071,71.4,219
"2014-04-09",56,55,194,74,38,96,136,93,77,85,75,35,0,0,27,1041,69.4,211
"2014-04-10",51,51,199,73,37,107,148,165,68,92,81,34,0,0,27,1133,75.5333333333333,225
"2014-04-11",31,46,189,88,55,103,169,195,75,91,65,40,0,0,28,1175,78.3333333333333,267
"2014-04-12",53,55,209,81,47,111,181,173,96,73,116,43,0,0,16,1254,83.6,247
"2014-04-13",42,43,214,103,52,130,132,171,88,84,129,42,0,0,18,1248,83.2,227
"2014-04-14",53,57,219,107,55,102,157,203,93,94,102,40,0,0,29,1311,87.4,268
"2014-04-15",39,43,175,93,42,86,135,162,65,94,70,43,0,0,19,1066,71.0666666666667,234
"2014-04-16",39,48,191,79,45,88,142,171,70,80,83,39,0,0,29,1104,73.6,267
"2014-04-17",43,20,190,89,49,98,151,175,64,99,86,40,0,0,26,1130,75.3333333333333,230
"2014-04-18",40,6,189,75,49,106,122,177,82,68,91,32,0,0,13,1050,70,206
"2014-04-19",65,25,179,84,53,112,113,183,91,85,94,57,0,0,18,1159,77.2666666666667,211
"2014-04-20",43,4,197,84,41,82,106,194,75,90,95,43,0,0,16,1070,71.3333333333333,222
"2014-04-21",40,2,193,91,51,89,136,157,93,74,97,38,0,0,18,1079,71.9333333333333,200
"2014-04-22",53,43,208,84,44,106,139,188,74,94,82,37,0,0,13,1165,77.6666666666667,256
