"date","passages","hospitalisations"
"2013-01-01",931,222
"2013-01-02",849,204
"2013-01-03",722,184
"2013-01-04",749,194
"2013-01-05",760,167
"2013-01-06",741,143
"2013-01-07",909,195
"2013-01-08",734,199
"2013-01-09",714,182
"2013-01-10",712,147
"2013-01-11",675,169
"2013-01-12",717,177
"2013-01-13",709,148
"2013-01-14",944,240
"2013-01-15",889,225
"2013-01-16",851,188
"2013-01-17",844,198
"2013-01-18",824,198
"2013-01-19",877,187
"2013-01-20",1013,200
"2013-01-21",1042,241
"2013-01-22",967,217
"2013-01-23",925,225
"2013-01-24",1017,206
"2013-01-25",913,202
"2013-01-26",1010,208
"2013-01-27",1011,190
"2013-01-28",1053,217
"2013-01-29",916,184
"2013-01-30",887,179
"2013-01-31",953,199
"2013-02-01",953,204
"2013-02-02",1034,192
"2013-02-03",1027,172
"2013-02-04",1010,218
"2013-02-05",952,214
"2013-02-06",890,191
"2013-02-07",927,191
"2013-02-08",957,213
"2013-02-09",893,225
"2013-02-10",1016,185
"2013-02-11",1012,239
"2013-02-12",806,145
"2013-02-13",874,197
"2013-02-14",906,203
"2013-02-15",921,219
"2013-02-16",1005,192
"2013-02-17",1006,166
"2013-02-18",1003,225
"2013-02-19",917,216
"2013-02-20",876,189
"2013-02-21",914,224
"2013-02-22",895,218
"2013-02-23",945,194
"2013-02-24",901,187
"2013-02-25",992,259
"2013-02-26",798,188
"2013-02-27",786,186
"2013-02-28",899,198
"2013-03-01",887,213
"2013-03-02",931,181
"2013-03-03",1012,206
"2013-03-04",966,200
"2013-03-05",915,209
"2013-03-06",897,174
"2013-03-07",994,221
"2013-03-08",966,207
"2013-03-09",964,170
"2013-03-10",1010,165
"2013-03-11",1029,223
"2013-03-12",847,183
"2013-03-13",877,188
"2013-03-14",890,228
"2013-03-15",953,205
"2013-03-16",932,178
"2013-03-17",950,144
"2013-03-18",1045,236
"2013-03-19",719,182
"2013-03-20",856,198
"2013-03-21",910,192
"2013-03-22",966,207
"2013-03-23",790,148
"2013-03-24",774,123
"2013-03-25",887,217
"2013-03-26",736,193
"2013-03-27",697,177
"2013-03-28",964,224
"2013-03-29",890,174
"2013-03-30",1111,213
"2013-03-31",947,193
"2013-04-01",976,185
"2013-04-02",966,255
"2013-04-03",895,227
"2013-04-04",885,220
"2013-04-05",1027,253
"2013-04-06",948,177
"2013-04-07",1001,198
"2013-04-08",1040,248
"2013-04-09",917,215
"2013-04-10",865,220
"2013-04-11",886,214
"2013-04-12",913,257
"2013-04-13",1039,175
"2013-04-14",972,210
"2013-04-15",1022,235
"2013-04-16",923,242
"2013-04-17",956,242
"2013-04-18",981,201
"2013-04-19",937,219
"2013-04-20",910,209
"2013-04-21",938,193
"2013-04-22",980,234
"2013-04-23",927,234
"2013-04-24",921,186
"2013-04-25",926,200
"2013-04-26",928,225
"2013-04-27",868,165
"2013-04-28",988,175
"2013-04-29",992,216
"2013-04-30",901,193
"2013-05-01",847,164
"2013-05-02",941,229
"2013-05-03",870,196
"2013-05-04",919,176
"2013-05-05",992,177
"2013-05-06",1060,231
"2013-05-07",953,200
"2013-05-08",772,137
"2013-05-09",975,175
"2013-05-10",1037,207
"2013-05-11",928,168
"2013-05-12",903,151
"2013-05-13",941,194
"2013-05-14",952,218
"2013-05-15",892,154
"2013-05-16",958,183
"2013-05-17",906,196
"2013-05-18",1063,234
"2013-05-19",1008,151
"2013-05-20",926,167
"2013-05-21",971,194
"2013-05-22",862,199
"2013-05-23",901,232
"2013-05-24",782,192
"2013-05-25",963,175
"2013-05-26",909,161
"2013-05-27",956,215
"2013-05-28",907,209
"2013-05-29",847,195
"2013-05-30",958,196
"2013-06-01",887,176
"2013-06-02",1060,191
"2013-06-03",1061,221
"2013-06-04",931,198
"2013-06-05",915,194
"2013-06-06",975,203
"2013-06-07",1025,239
"2013-06-08",1117,196
"2013-06-09",1092,177
"2013-06-10",1068,216
"2013-06-11",1047,225
"2013-06-12",1037,202
"2013-06-13",929,197
"2013-06-14",977,197
"2013-06-15",1041,186
"2013-06-16",1114,183
"2013-06-17",1057,267
"2013-06-18",940,177
"2013-06-19",986,196
"2013-06-20",968,191
"2013-06-21",1034,245
"2013-06-22",1162,207
"2013-06-23",1046,168
"2013-06-24",1059,219
"2013-06-25",978,201
"2013-06-26",853,165
"2013-06-27",859,172
"2013-06-28",863,198
"2013-06-29",962,188
"2013-06-30",995,175
"2013-07-01",1004,217
"2013-07-02",865,195
"2013-07-03",848,185
"2013-07-04",929,202
"2013-07-05",968,189
"2013-07-06",883,144
"2013-07-07",1069,180
"2013-07-08",1096,221
"2013-07-09",985,200
"2013-07-10",990,208
"2013-07-11",977,185
"2013-07-12",933,183
"2013-07-13",983,183
"2013-07-14",1119,166
"2013-07-15",1069,266
"2013-07-16",926,202
"2013-07-17",861,181
"2013-07-18",894,206
"2013-07-19",902,196
"2013-07-20",1007,180
"2013-07-21",732,157
"2013-07-22",989,201
"2013-07-23",973,198
"2013-07-24",968,177
"2013-07-25",970,207
"2013-07-26",1029,205
"2013-07-27",1014,183
"2013-07-28",1126,173
"2013-07-29",1088,222
"2013-07-30",988,214
"2013-07-31",918,181
"2013-08-01",990,192
"2013-08-02",936,204
"2013-08-03",1040,185
"2013-08-04",1035,171
"2013-08-05",1107,217
"2013-08-06",923,194
"2013-08-07",907,189
"2013-08-08",894,189
"2013-08-09",877,180
"2013-08-10",1019,206
"2013-08-11",999,158
"2013-08-12",936,176
"2013-08-13",945,210
"2013-08-14",982,209
"2013-08-15",924,156
"2013-08-16",1134,224
"2013-08-17",997,200
"2013-08-18",943,179
"2013-08-19",973,226
"2013-08-20",956,185
"2013-08-21",913,225
"2013-08-22",844,215
"2013-08-23",974,211
"2013-08-24",927,191
"2013-08-25",915,174
"2013-08-26",1021,230
"2013-08-27",864,213
"2013-08-28",876,195
"2013-08-29",911,201
"2013-08-30",938,231
"2013-08-31",993,208
"2013-09-01",965,194
"2013-09-02",1046,218
"2013-09-03",872,250
"2013-09-04",937,189
"2013-09-05",962,229
"2013-09-06",977,223
"2013-09-07",954,212
"2013-09-08",1020,198
"2013-09-09",1018,219
"2013-09-10",835,182
"2013-09-11",852,179
"2013-09-12",830,178
"2013-09-13",933,206
"2013-09-14",1021,195
"2013-09-15",985,185
"2013-09-16",1031,247
"2013-09-17",894,178
"2013-09-18",954,210
"2013-09-19",947,209
"2013-09-20",944,217
"2013-09-21",1033,193
"2013-09-22",1088,193
"2013-09-23",1112,240
"2013-09-24",984,212
"2013-09-25",975,203
"2013-09-26",998,226
"2013-09-27",1026,216
"2013-09-28",1171,206
"2013-09-29",886,145
"2013-09-30",940,175
"2013-10-01",909,223
"2013-10-02",962,189
"2013-10-03",981,214
"2013-10-04",1004,243
"2013-10-05",974,179
"2013-10-06",957,184
"2013-10-07",907,218
"2013-10-08",968,231
"2013-10-09",983,194
"2013-10-10",960,218
"2013-10-11",932,202
"2013-10-12",943,175
"2013-10-13",1067,165
"2013-10-14",995,222
"2013-10-15",890,210
"2013-10-16",943,233
"2013-10-17",976,221
"2013-10-18",926,206
"2013-10-19",1038,204
"2013-10-20",995,174
"2013-10-21",993,237
"2013-10-22",958,240
"2013-10-23",905,243
"2013-10-24",928,209
"2013-10-25",996,252
"2013-10-26",982,187
"2013-10-27",995,177
"2013-10-28",1010,241
"2013-10-29",998,245
"2013-10-30",927,201
"2013-10-31",856,178
"2013-11-01",850,141
"2013-11-02",1080,200
"2013-11-03",779,143
"2013-11-04",980,209
"2013-11-05",891,190
"2013-11-06",880,177
"2013-11-07",971,231
"2013-11-08",922,220
"2013-11-09",998,213
"2013-11-10",785,187
"2013-11-11",970,174
"2013-11-12",986,260
"2013-11-13",897,215
"2013-11-14",859,226
"2013-11-15",939,238
"2013-11-16",908,179
"2013-11-17",930,170
"2013-11-18",1074,259
"2013-11-19",956,220
"2013-11-20",885,181
"2013-11-21",891,226
"2013-11-22",931,195
"2013-11-23",952,194
"2013-11-24",931,187
"2013-11-25",1047,223
"2013-11-26",879,214
"2013-11-27",761,174
"2013-11-28",892,198
"2013-11-29",895,216
"2013-11-30",938,188
"2013-12-01",978,194
"2013-12-02",1112,241
"2013-12-03",836,199
"2013-12-04",910,221
"2013-12-05",999,244
"2013-12-06",881,213
"2013-12-07",1022,218
"2013-12-08",945,186
"2013-12-09",1111,222
"2013-12-10",926,192
"2013-12-11",958,214
"2013-12-12",978,209
"2013-12-13",937,215
"2013-12-14",785,171
"2013-12-15",716,142
"2013-12-16",1048,219
"2013-12-17",976,227
"2013-12-18",774,174
"2013-12-19",928,246
"2013-12-20",968,238
"2013-12-21",870,200
"2013-12-22",1055,194
"2013-12-23",1066,244
"2013-12-24",981,201
"2013-12-25",942,202
"2013-12-26",1059,207
"2013-12-27",1182,277
"2013-12-28",1060,213
"2013-12-29",970,183
"2013-12-30",1031,259
"2013-12-31",918,217
"2014-01-01",972,194
"2014-01-02",1055,265
"2014-01-03",1038,264
"2014-01-04",982,237
"2014-01-05",918,184
"2014-01-06",1000,242
"2014-01-07",994,231
"2014-01-08",965,228
"2014-01-09",964,225
"2014-01-10",903,222
"2014-01-11",973,199
"2014-01-12",837,162
"2014-01-13",1030,215
"2014-01-14",890,220
"2014-01-15",840,253
"2014-01-16",958,244
"2014-01-17",885,238
"2014-01-18",964,228
"2014-01-19",929,182
"2014-01-20",977,217
"2014-01-21",871,225
"2014-01-22",922,224
"2014-01-23",913,216
"2014-01-24",882,229
"2014-01-25",936,189
"2014-01-26",899,192
"2014-01-27",1012,227
"2014-01-28",957,218
"2014-01-29",904,227
"2014-01-30",931,204
"2014-01-31",936,232
"2014-02-01",1049,220
"2014-02-02",1048,191
"2014-02-03",1193,255
"2014-02-04",1030,235
"2014-02-05",989,193
"2014-02-06",1109,271
"2014-02-07",933,223
"2014-02-08",1131,225
"2014-02-09",1094,213
"2014-02-10",1203,269
"2014-02-11",1055,228
"2014-02-12",1024,273
"2014-02-13",1071,294
"2014-02-14",1043,262
"2014-02-15",1067,244
"2014-02-16",1108,183
"2014-02-17",1272,274
"2014-02-18",1083,266
"2014-02-19",1026,253
"2014-02-20",1066,241
"2014-02-21",1042,254
"2014-02-22",982,229
"2014-02-23",1056,220
"2014-02-24",1163,312
"2014-02-25",995,227
"2014-02-26",955,218
"2014-02-27",974,225
"2014-02-28",1038,261
"2014-03-01",1080,235
"2014-03-02",1024,199
"2014-03-03",1156,268
"2014-03-04",1038,240
"2014-03-05",846,185
"2014-03-06",827,187
"2014-03-07",843,217
"2014-03-08",1014,227
"2014-03-09",1193,216
"2014-03-10",1138,288
"2014-03-11",1033,230
"2014-03-12",1058,241
"2014-03-13",1003,229
"2014-03-14",1069,239
"2014-03-15",1103,228
"2014-03-16",1154,201
"2014-03-17",990,220
"2014-03-18",768,210
"2014-03-19",995,203
"2014-03-20",1119,241
"2014-03-21",1141,262
"2014-03-22",1059,205
"2014-03-23",1103,211
"2014-03-24",1220,264
