"","3Fr","Alk","Ane","Col","Dia","Dts","Geb","Hag","Hus","Mul","Odi","Ros","Sav","Sel","Wis"
"2015-01-01",48,51,0,190,59,29,52,129,306,220,15,9,83,85,28
"2015-01-02",45,52,0,210,102,27,43,118,292,200,10,28,94,81,30
"2015-01-03",31,43,0,203,85,30,64,135,325,0,2,13,106,103,42
"2015-01-04",43,40,0,176,79,21,48,106,291,186,7,12,81,76,31
"2015-01-05",45,54,0,183,74,29,34,155,277,196,72,2,99,71,34
"2015-01-06",37,39,0,154,82,31,48,132,284,176,62,12,85,76,23
"2015-01-07",42,43,0,158,74,36,40,125,298,156,65,8,69,84,39
"2015-01-08",58,39,0,169,72,32,43,117,244,190,47,14,65,96,38
"2015-01-09",47,48,0,169,75,34,34,107,275,155,74,22,65,72,28
"2015-01-10",51,37,0,169,73,23,46,125,322,186,62,21,82,95,41
"2015-01-11",48,51,0,192,65,20,37,103,283,187,73,10,54,97,34
"2015-01-12",39,54,0,180,81,45,40,120,292,211,64,23,78,101,36
"2015-01-13",35,47,0,160,68,29,40,125,269,40,60,17,95,87,18
"2015-01-14",36,41,31,163,62,28,31,103,273,150,65,24,76,76,34
"2015-01-15",49,34,45,178,83,34,46,137,261,189,60,15,97,90,33
"2015-01-16",44,37,50,179,80,26,41,109,299,176,71,11,86,71,27
"2015-01-17",48,37,50,156,75,36,37,150,311,188,60,11,83,95,26
"2015-01-18",42,55,38,186,72,21,36,111,302,214,72,11,76,88,35
"2015-01-19",42,41,43,204,88,35,46,119,299,166,65,37,82,100,30
"2015-01-20",39,53,30,150,75,27,36,107,266,193,64,28,71,75,28
"2015-01-21",49,32,45,212,75,25,27,122,257,50,64,15,88,69,29
"2015-01-22",39,36,41,162,71,29,48,130,268,174,71,24,67,65,32
"2015-01-23",45,46,37,206,80,33,26,109,323,183,57,17,80,75,29
"2015-01-24",45,41,34,178,81,25,37,138,315,217,66,23,70,88,35
"2015-01-25",55,41,55,212,95,18,43,153,344,202,67,10,96,83,53
"2015-01-26",34,34,40,218,77,47,41,124,309,202,82,34,93,83,38
"2015-01-27",31,34,69,176,66,34,24,128,354,168,88,25,89,96,39
"2015-01-28",54,31,39,186,76,28,32,115,287,61,67,21,80,78,41
"2015-01-29",36,43,40,188,86,33,38,127,312,150,74,24,84,89,35
"2015-01-30",26,39,47,202,77,34,37,118,319,199,72,34,72,72,31
"2015-01-31",63,48,64,188,93,37,38,131,333,210,79,26,83,91,32
"2015-02-01",53,48,56,205,82,29,43,131,319,31,89,16,86,86,36
"2015-02-02",55,47,65,202,80,30,43,129,311,83,77,32,93,107,47
"2015-02-03",29,49,43,187,73,32,44,92,286,179,69,16,87,82,36
"2015-02-04",49,31,42,186,66,29,37,112,295,179,74,23,90,73,33
"2015-02-05",43,52,50,188,56,36,44,134,300,189,72,27,80,79,32
"2015-02-06",41,40,49,195,68,25,40,140,305,168,62,29,80,104,36
"2015-02-07",58,52,43,164,86,29,41,119,320,183,80,15,88,93,29
"2015-02-08",49,46,57,197,72,16,45,135,353,173,83,12,83,84,41
"2015-02-09",53,59,51,240,84,39,30,130,311,207,75,24,111,92,44
"2015-02-10",58,43,36,178,76,38,50,126,270,171,67,29,82,0,40
"2015-02-11",48,35,43,190,75,29,39,140,265,180,59,16,84,68,32
"2015-02-12",36,43,53,170,87,33,43,117,312,201,68,31,93,81,39
"2015-02-13",51,49,38,233,83,39,53,121,341,183,68,34,89,69,49
"2015-02-14",53,38,65,179,78,33,42,136,348,211,73,16,97,4,34
"2015-02-15",56,50,59,203,81,29,47,137,341,191,89,15,93,115,39
"2015-02-16",51,48,45,224,95,45,50,143,333,194,100,29,93,92,31
"2015-02-17",56,48,36,169,80,29,45,135,297,183,69,21,93,58,38
"2015-02-18",48,36,48,213,59,35,38,123,270,174,70,22,92,95,29
"2015-02-19",46,49,38,205,75,35,49,129,315,167,72,18,93,85,41
"2015-02-20",51,45,47,183,76,35,29,118,324,189,61,31,83,93,35
"2015-02-21",49,45,54,173,84,25,42,128,316,225,91,25,83,83,33
"2015-02-22",52,46,70,180,67,15,43,142,340,203,81,12,68,90,38
"2015-02-23",53,58,43,191,84,35,37,131,310,173,72,27,102,91,31
"2015-02-24",42,38,40,195,77,24,42,112,240,167,52,16,88,85,31
"2015-02-25",51,37,27,166,80,32,47,133,252,156,55,16,68,64,29
"2015-02-26",40,42,31,167,79,43,41,109,302,157,70,10,75,79,26
