"date","total"
"2013-01-01","931"
"2013-01-02","849"
"2013-01-03","722"
"2013-01-04","749"
"2013-01-05","760"
"2013-01-06","741"
"2013-01-07","909"
"2013-01-08","734"
"2013-01-09","714"
"2013-01-10","712"
"2013-01-11","675"
"2013-01-12","717"
"2013-01-13","709"
"2013-01-14","944"
"2013-01-15","889"
"2013-01-16","851"
"2013-01-17","844"
"2013-01-18","824"
"2013-01-19","877"
"2013-01-20","1013"
"2013-01-21","1042"
"2013-01-22","967"
"2013-01-23","925"
"2013-01-24","1017"
"2013-01-25","913"
"2013-01-26","1010"
"2013-01-27","1011"
"2013-01-28","1053"
"2013-01-29","916"
"2013-01-30","887"
"2013-01-31","953"
"2013-02-01","953"
"2013-02-02","1034"
"2013-02-03","1027"
"2013-02-04","1010"
"2013-02-05","952"
"2013-02-06","890"
"2013-02-07","927"
"2013-02-08","957"
"2013-02-09","893"
"2013-02-10","1016"
"2013-02-11","1012"
"2013-02-12","806"
"2013-02-13","874"
"2013-02-14","906"
"2013-02-15","921"
"2013-02-16","1005"
"2013-02-17","1006"
"2013-02-18","1003"
"2013-02-19","917"
"2013-02-20","876"
"2013-02-21","914"
"2013-02-22","895"
"2013-02-23","945"
"2013-02-24","901"
"2013-02-25","992"
"2013-02-26","798"
"2013-02-27","786"
"2013-02-28","899"
"2013-03-01","887"
"2013-03-02","931"
"2013-03-03","1012"
"2013-03-04","966"
"2013-03-05","915"
"2013-03-06","897"
"2013-03-07","994"
"2013-03-08","966"
"2013-03-09","964"
"2013-03-10","1010"
"2013-03-11","1029"
"2013-03-12","847"
"2013-03-13","877"
"2013-03-14","890"
"2013-03-15","953"
"2013-03-16","932"
"2013-03-17","950"
"2013-03-18","1045"
"2013-03-19","719"
"2013-03-20","856"
"2013-03-21","910"
"2013-03-22","966"
"2013-03-23","790"
"2013-03-24","774"
"2013-03-25","887"
"2013-03-26","736"
"2013-03-27","697"
"2013-03-28","964"
"2013-03-29","890"
"2013-03-30","1111"
"2013-03-31","947"
"2013-04-01","976"
"2013-04-02","966"
"2013-04-03","895"
"2013-04-04","885"
"2013-04-05","1027"
"2013-04-06","948"
"2013-04-07","1001"
"2013-04-08","1040"
"2013-04-09","917"
"2013-04-10","865"
"2013-04-11","886"
"2013-04-12","913"
"2013-04-13","1039"
"2013-04-14","972"
"2013-04-15","1022"
"2013-04-16","923"
"2013-04-17","956"
"2013-04-18","981"
"2013-04-19","937"
"2013-04-20","910"
"2013-04-21","938"
"2013-04-22","980"
"2013-04-23","927"
"2013-04-24","921"
"2013-04-25","926"
"2013-04-26","928"
"2013-04-27","868"
"2013-04-28","988"
"2013-04-29","992"
"2013-04-30","901"
"2013-05-01","847"
"2013-05-02","941"
"2013-05-03","870"
"2013-05-04","919"
"2013-05-05","992"
"2013-05-06","1060"
"2013-05-07","953"
"2013-05-08","772"
"2013-05-09","975"
"2013-05-10","1037"
"2013-05-11","928"
"2013-05-12","903"
"2013-05-13","941"
"2013-05-14","952"
"2013-05-15","892"
"2013-05-16","958"
"2013-05-17","906"
"2013-05-18","1063"
"2013-05-19","1008"
"2013-05-20","926"
"2013-05-21","971"
"2013-05-22","862"
"2013-05-23","901"
"2013-05-24","782"
"2013-05-25","963"
"2013-05-26","909"
"2013-05-27","956"
"2013-05-28","907"
"2013-05-29","847"
"2013-05-30","958"
"2013-06-01","887"
"2013-06-02","1060"
"2013-06-03","1061"
"2013-06-04","931"
"2013-06-05","915"
"2013-06-06","975"
"2013-06-07","1025"
"2013-06-08","1117"
"2013-06-09","1092"
"2013-06-10","1068"
"2013-06-11","1047"
"2013-06-12","1037"
"2013-06-13","929"
"2013-06-14","977"
"2013-06-15","1041"
"2013-06-16","1114"
"2013-06-17","1057"
"2013-06-18","940"
"2013-06-19","986"
"2013-06-20","968"
"2013-06-21","1034"
"2013-06-22","1162"
"2013-06-23","1046"
"2013-06-24","1059"
"2013-06-25","978"
"2013-06-26","853"
"2013-06-27","859"
"2013-06-28","863"
"2013-06-29","962"
"2013-06-30","995"
"2013-07-01","1004"
"2013-07-02","865"
"2013-07-03","848"
"2013-07-04","929"
"2013-07-05","968"
"2013-07-06","883"
"2013-07-07","1069"
"2013-07-08","1096"
"2013-07-09","985"
"2013-07-10","990"
"2013-07-11","977"
"2013-07-12","933"
"2013-07-13","983"
"2013-07-14","1119"
"2013-07-15","1069"
"2013-07-16","926"
"2013-07-17","861"
"2013-07-18","894"
"2013-07-19","902"
"2013-07-20","1007"
"2013-07-21","732"
"2013-07-22","989"
"2013-07-23","973"
"2013-07-24","968"
"2013-07-25","970"
"2013-07-26","1029"
"2013-07-27","1014"
"2013-07-28","1126"
"2013-07-29","1088"
"2013-07-30","988"
"2013-07-31","918"
"2013-08-01","990"
"2013-08-02","936"
"2013-08-03","1040"
"2013-08-04","1035"
"2013-08-05","1107"
"2013-08-06","923"
"2013-08-07","907"
"2013-08-08","894"
"2013-08-09","877"
"2013-08-10","1019"
"2013-08-11","999"
"2013-08-12","936"
"2013-08-13","945"
"2013-08-14","982"
"2013-08-15","924"
