"","RPU 2013","RPU 2013 > 74","% 75 ans","RPU 2014","RPU 2014 > 74","% 75 ans"
"Wis",12646,2291,18.12,12158,2099,17.26
"Hag",34413,7707,22.4,39938,6895,17.26
"Sav",12424,1761,14.17,29445,4036,13.71
"",59483,11759,19.77,81541,13030,15.98
"Hus",37018,11416,30.84,61793,12337,19.97
"Ane",NA,NA,NA,7418,695,9.37
"Odi",25961,1447,5.57,24956,1290,5.17
"Dts",NA,NA,NA,3910,153,3.91
"",62979,12863,20.42,98077,14475,14.76
"Sel",29534,4052,13.72,28828,3887,13.48
"Col",64758,8175,12.62,67378,8527,12.66
"Geb",15103,1615,10.69,16024,1708,10.66
"",109395,13842,12.65,112230,14122,12.58
"Mul",56195,7267,12.93,59471,7480,12.58
"Alk",10861,1624,14.95,12660,1874,14.8
"Dia",29467,4014,13.62,29410,4139,14.07
"Ros",NA,NA,NA,7206,362,5.02
"3Fr",15683,1702,10.85,16134,1789,11.09
"",112206,14607,13.02,124881,15644,12.53
"tot",344063,53071,15.42,416729,57271,13.74
