"","3Fr","Alk","Ane","Col","Dia","Dts","Geb","Hag","Hus","Mul","Odi","Ros","Sav","Sel","Wis"
"2014-01-01",46,0,0,177,76,0,44,99,90,130,73,0,97,101,39
"2014-01-02",34,31,0,181,77,0,33,101,134,189,71,0,83,84,37
"2014-01-03",36,38,0,199,82,0,34,86,117,187,61,0,93,75,30
"2014-01-04",38,17,0,169,92,0,31,89,95,177,71,0,84,87,32
"2014-01-05",42,1,0,164,75,0,38,85,79,183,76,0,64,76,35
"2014-01-06",40,11,0,160,90,0,51,87,128,179,77,0,78,76,23
"2014-01-07",47,19,0,181,81,0,34,89,114,161,61,0,80,88,39
"2014-01-08",36,18,0,185,83,0,34,92,91,166,65,0,73,94,28
"2014-01-09",50,36,0,175,57,0,37,90,116,147,61,0,91,74,30
"2014-01-10",38,18,0,160,79,0,38,84,110,161,67,0,59,62,27
"2014-01-11",16,7,0,162,88,0,36,108,130,177,70,0,67,72,40
"2014-01-12",49,7,0,186,84,0,30,101,91,110,60,0,76,12,31
"2014-01-13",49,18,0,179,83,0,44,84,122,174,76,0,97,68,36
"2014-01-14",35,13,0,168,70,0,30,85,97,152,62,0,81,77,20
"2014-01-15",31,32,0,163,77,0,38,116,71,84,50,0,81,76,21
"2014-01-16",36,8,0,184,92,0,41,104,127,169,0,0,91,75,31
"2014-01-17",39,26,0,166,75,0,30,88,128,168,0,0,82,56,27
"2014-01-18",49,12,0,187,85,0,30,110,101,192,0,0,84,84,30
"2014-01-19",41,31,0,172,74,0,46,98,98,160,0,0,95,78,36
"2014-01-20",42,24,0,185,90,0,43,114,102,179,0,0,90,72,36
"2014-01-21",41,29,0,151,76,0,34,93,103,156,0,0,75,82,31
"2014-01-22",43,37,0,185,80,0,33,98,113,155,0,0,75,70,33
"2014-01-23",43,33,0,147,83,0,39,86,107,182,0,0,85,75,33
"2014-01-24",37,44,0,165,74,0,29,87,117,151,0,0,71,82,25
"2014-01-25",47,25,0,180,94,0,37,105,88,172,0,0,69,83,36
"2014-01-26",52,15,0,173,64,0,35,98,110,180,0,0,64,71,37
"2014-01-27",36,42,0,182,77,0,45,86,132,199,0,0,90,88,35
"2014-01-28",47,39,0,188,80,0,31,100,109,183,0,0,82,66,32
"2014-01-29",39,31,0,159,67,0,35,90,122,185,0,0,80,65,31
"2014-01-30",50,38,0,166,75,0,32,106,115,174,0,0,82,64,29
"2014-01-31",14,45,0,185,83,0,37,84,126,180,0,0,86,72,24
"2014-02-01",52,18,0,180,81,30,51,101,108,164,69,0,86,78,31
"2014-02-02",56,28,0,163,82,24,38,100,85,193,79,0,90,83,27
"2014-02-03",45,56,0,179,81,32,50,106,132,193,75,0,114,93,37
"2014-02-04",44,34,0,183,75,16,39,90,129,172,65,0,84,69,30
"2014-02-05",36,34,0,175,86,0,39,94,102,166,65,16,79,65,32
"2014-02-06",49,45,0,185,79,0,43,109,127,175,83,20,82,68,44
"2014-02-07",37,39,0,189,78,0,47,89,104,53,63,20,92,90,32
"2014-02-08",50,36,0,180,86,0,50,123,123,182,84,14,92,84,27
"2014-02-09",42,32,0,190,75,0,43,116,93,194,92,11,74,99,33
"2014-02-10",41,44,0,213,82,0,43,111,126,188,81,10,120,88,56
"2014-02-11",42,39,0,177,73,0,40,100,124,162,72,24,96,71,35
"2014-02-12",39,41,0,191,70,0,40,87,115,162,74,21,77,79,28
"2014-02-13",41,41,0,182,74,0,44,92,108,176,80,21,73,104,35
"2014-02-14",39,36,0,191,82,0,41,79,114,173,69,14,94,75,36
"2014-02-15",41,33,0,163,86,0,46,95,121,192,71,24,67,90,38
"2014-02-16",46,48,0,202,81,0,41,88,89,184,90,24,79,93,43
"2014-02-17",55,48,0,211,97,0,51,114,139,208,80,28,102,87,52
"2014-02-18",33,41,0,181,80,0,57,83,131,166,77,25,93,79,37
"2014-02-19",43,39,0,191,70,0,42,87,107,157,67,19,87,81,36
"2014-02-20",41,37,0,180,73,0,45,96,119,174,77,26,81,79,38
"2014-02-21",37,32,0,208,80,0,37,97,108,165,68,18,88,76,28
"2014-02-22",40,43,0,183,79,0,40,110,100,179,75,20,77,4,32
"2014-02-23",46,33,0,211,68,0,41,106,125,223,84,11,75,0,33
"2014-02-24",39,41,0,199,109,0,46,92,132,178,79,24,108,87,29
"2014-02-25",47,31,0,182,67,0,29,84,115,178,64,18,74,78,28
"2014-02-26",43,37,0,153,67,0,29,75,124,172,61,16,84,71,23
"2014-02-27",29,33,0,161,76,0,33,100,106,171,53,26,78,74,34
"2014-02-28",54,29,0,181,91,0,36,82,134,179,66,21,80,54,31
"2014-03-01",41,33,0,187,85,0,42,108,101,179,56,13,88,104,43
"2014-03-02",58,3,0,200,72,0,37,93,85,179,86,12,83,78,38
"2014-03-03",49,54,0,208,84,0,40,105,130,179,64,35,95,75,38
"2014-03-04",44,35,0,188,89,0,46,91,111,166,67,22,76,76,27
"2014-03-05",40,32,0,184,81,0,34,67,112,0,66,24,78,99,29
"2014-03-06",44,31,0,180,76,0,35,86,125,0,64,20,57,77,32
"2014-03-07",34,41,0,168,74,0,47,93,115,0,50,19,73,95,34
"2014-03-08",35,42,0,171,84,0,44,108,125,116,81,26,71,73,38
"2014-03-09",52,50,0,208,91,0,55,97,108,168,89,18,83,122,52
"2014-03-10",40,39,0,204,79,0,45,97,140,171,77,33,93,87,33
"2014-03-11",44,40,0,168,60,0,44,85,150,154,79,14,69,79,47
"2014-03-12",50,37,0,182,81,0,45,100,101,169,67,23,80,83,40
"2014-03-13",37,41,0,169,77,0,26,94,114,155,68,21,85,76,40
"2014-03-14",40,40,0,177,68,0,42,108,132,140,73,27,88,92,42
"2014-03-15",55,51,0,181,78,0,37,95,100,200,68,23,84,95,36
"2014-03-16",47,51,0,204,81,0,54,117,100,184,58,14,83,114,47
"2014-03-17",42,49,0,0,88,0,50,119,122,189,83,23,92,94,39
"2014-03-18",35,48,0,0,76,0,57,88,99,82,72,15,86,85,25
"2014-03-19",49,31,0,170,62,0,45,91,111,156,64,28,84,79,25
"2014-03-20",42,45,0,191,97,0,45,91,137,166,79,30,89,85,22
"2014-03-21",51,27,0,192,85,0,46,87,169,175,78,28,92,82,29
"2014-03-22",43,39,0,168,88,0,37,108,105,164,84,21,85,91,26
"2014-03-23",36,37,0,192,77,0,40,119,104,183,104,17,76,89,29
"2014-03-24",56,44,0,190,101,0,42,104,145,151,100,24,115,102,46
"2014-03-25",38,35,0,166,73,0,38,93,131,179,82,15,80,80,32
"2014-03-26",37,43,0,202,68,0,35,78,150,155,76,25,89,4,31
"2014-03-27",43,36,0,161,88,0,30,78,149,171,74,23,89,0,39
"2014-03-28",30,39,0,176,73,0,50,105,124,166,64,22,97,0,35
"2014-03-29",56,46,0,186,88,0,57,99,98,201,84,22,81,0,36
"2014-03-30",45,59,0,210,85,0,50,123,109,179,92,18,95,115,45
"2014-03-31",55,52,0,217,98,0,66,102,143,104,84,35,93,84,44
"2014-04-01",46,30,0,183,86,0,38,93,133,170,69,18,84,80,34
"2014-04-02",39,41,0,198,83,0,60,96,126,185,72,24,86,71,38
"2014-04-03",34,43,0,201,90,0,49,112,127,170,68,25,79,87,36
"2014-04-04",47,46,0,200,83,0,53,107,164,177,78,12,84,86,37
"2014-04-05",49,42,0,206,81,0,46,113,117,173,90,20,77,97,31
"2014-04-06",53,54,0,217,73,0,57,105,143,208,91,13,79,104,45
"2014-04-07",52,49,0,230,103,0,50,110,154,195,101,32,84,81,51
"2014-04-08",39,42,0,185,71,0,50,89,121,170,78,24,81,81,40
"2014-04-09",56,55,0,194,74,0,38,96,136,93,77,27,85,75,35
"2014-04-10",51,51,0,199,73,0,37,107,148,165,68,27,92,81,34
"2014-04-11",31,46,0,189,88,0,55,103,169,195,75,28,91,65,40
"2014-04-12",53,55,0,209,81,0,47,111,181,173,96,16,73,116,43
"2014-04-13",42,43,0,214,103,0,52,130,132,171,88,18,84,129,42
"2014-04-14",53,57,0,219,107,0,55,102,157,203,93,29,94,102,40
"2014-04-15",39,43,0,175,93,0,42,86,135,162,65,19,94,70,43
"2014-04-16",39,48,0,191,79,0,45,88,142,171,70,29,80,83,39
"2014-04-17",43,20,0,190,89,0,49,98,151,175,64,26,99,86,40
"2014-04-18",40,6,0,189,75,0,49,106,122,177,82,13,68,91,32
"2014-04-19",65,25,0,179,84,0,53,112,113,183,91,18,85,94,57
"2014-04-20",43,4,0,197,84,0,41,82,106,194,75,16,90,95,43
"2014-04-21",40,2,0,193,91,0,51,89,136,157,93,18,74,97,38
"2014-04-22",53,43,0,208,84,0,44,106,139,188,74,13,94,82,37
"2014-04-23",26,40,0,176,84,0,40,70,131,159,76,26,87,73,30
"2014-04-24",45,31,0,0,77,0,41,107,137,163,71,23,87,85,36
"2014-04-25",35,37,0,185,78,0,43,103,134,175,74,25,78,81,43
"2014-04-26",50,48,0,194,67,0,50,96,140,193,75,10,80,98,45
"2014-04-27",41,3,0,172,77,0,54,111,126,183,78,12,88,74,42
"2014-04-28",39,38,0,192,78,0,30,104,139,124,77,25,78,5,43
"2014-04-29",30,15,0,160,72,0,35,95,109,136,74,14,73,66,29
