Titre du rapport
Identificateur unique	Commune	Code Insee
1	STRASBOURG	67482
2	STRASBOURG	67482
3	BISCHHEIM	67043
4	SCHILTIGHEIM	67447
5	HOENHEIM	67204
7	ILLKIRCH GRAFFENSTADEN	67218
8	LINGOLSHEIM	67267
9	OSTWALD	67365
10	SOUFFELWEYERSHEIM	67471
11	LA WANTZENAU	67519
12	REICHSTETT	67389
21	ACHENHEIM	67001
22	ADAMSWILLER	67002
23	ALBE	67003
24	ALLENWILLER	67004
25	ALTECKENDORF	67005
26	ALTENHEIM	67006
27	ALTENSTADT	67007
28	ALTORF	67008
29	ALTWILLER	67009
30	ANDLAU	67010
31	ARTOLSHEIM	67011
32	ASCHBACH	67012
33	ASSWILLER	67013
34	AUENHEIM	67014
35	AVENHEIM	67015
36	AVOLSHEIM	67016
37	BAERENDORF	67017
38	BALBRONN	67018
39	BALDENHEIM	67019
40	BAREMBACH	67020
41	BARR	67021
42	BASSEMBERG	67022
43	BATZENDORF	67023
44	BEHLENHEIM	67024
45	BEINHEIM	67025
46	BELLEFOSSE	67026
47	BELMONT	67027
48	BENFELD	67028
49	BERG	67029
50	BERGBIETEN	67030
51	BERNARDSWILLER	67031
52	BERNARDVILLE	67032
53	BERNOLSHEIM	67033
54	BERSTETT	67034
55	BERSTHEIM	67035
56	BETSCHDORF	67339
57	BETTWILLER	67036
58	BIBLISHEIM	67037
59	BIETLENHEIM	67038
60	BILWISHEIM	67039
61	BINDERNHEIM	67040
62	BIRKENWALD	67041
63	BIRLENBACH	67042
64	BISCHHOLTZ	67044
65	BISCHOFFSHEIM	67045
66	BISCHTROFF SUR SARRE	67376
67	BISCHWILLER	67046
68	BISSERT	67047
69	BITSCHHOFFEN	67048
70	BLAESHEIM	67049
71	BLANCHERUPT	67050
72	BLIENSCHWILLER	67051
73	BOERSCH	67052
74	BOESENBIESEN	67053
75	BOLSENHEIM	67054
76	BOOFZHEIM	67055
77	BOOTZHEIM	67056
78	BOSSELSHAUSEN	67057
79	BOSSENDORF	67058
80	BOURG BRUCHE	67059
81	BOURGHEIM	67060
82	BOUXWILLER	67061
83	BREITENAU	67062
84	BREITENBACH	67063
85	BREMMELBACH	67064
86	BREUSCHWICKERSHEIM	67065
87	BRUMATH	67067
88	BUHL	67069
89	BURBACH	67070
90	BUST	67071
91	BUSWILLER	67068
92	BUTTEN	67072
93	CHATENOIS	67073
94	CLEEBOURG	67074
95	CLIMBACH	67075
96	COLROY LA ROCHE	67076
97	COSSWILLER	67077
98	CRASTATT	67078
99	CROETTWILLER	67079
100	DACHSTEIN	67080
101	DAHLENHEIM	67081
102	DALHUNDEN	67082
103	DAMBACH	67083
104	DAMBACH LA VILLE	67084
105	DANGOLSHEIM	67085
106	DAUBENSAND	67086
107	DAUENDORF	67087
108	DEHLINGEN	67088
109	DETTWILLER	67089
110	DIEBOLSHEIM	67090
111	DIEDENDORF	67091
112	DIEFFENBACH AU VAL	67092
113	DIEFFENBACH LES WOERTH	67093
114	DIEFFENTHAL	67094
115	DIEMERINGEN	67095
116	DIMBSTHAL	67096
117	DINGSHEIM	67097
118	DINSHEIM SUR BRUCHE	67098
119	DOMFESSEL	67099
120	DONNENHEIM	67100
121	DORLISHEIM	67101
122	DOSSENHEIM KOCHERSBERG	67102
123	DOSSENHEIM SUR ZINSEL	67103
124	DRACHENBRONN BIRLENBACH	67104
125	DRULINGEN	67105
126	DRUSENHEIM	67106
127	DUNTZENHEIM	67107
128	DUPPIGHEIM	67108
129	DURNINGEN	67109
130	DURRENBACH	67110
131	DURSTEL	67111
132	DUTTLENHEIM	67112
133	EBERBACH WOERTH	67114
134	EBERBACH SELTZ	67113
135	EBERSHEIM	67115
136	EBERSMUNSTER	67116
137	ECKARTSWILLER	67117
138	ECKBOLSHEIM	67118
139	ECKWERSHEIM	67119
140	EICHHOFFEN	67120
141	ELSENHEIM	67121
142	ENGWILLER	67123
143	ENTZHEIM	67124
144	EPFIG	67125
145	ERCKARTSWILLER	67126
146	ERGERSHEIM	67127
147	ERNOLSHEIM LES SAVERNE	67129
148	ERNOLSHEIM SUR BRUCHE	67128
149	ERSTEIN	67130
150	ESCHAU	67131
151	ESCHBACH	67132
152	ESCHBOURG	67133
153	ESCHWILLER	67134
154	ETTENDORF	67135
155	EYWILLER	67136
156	FEGERSHEIM	67137
157	FESSENHEIM LE BAS	67138
158	FLEXBOURG	67139
159	FORSTFELD	
160	FORSTHEIM	67141
161	FORT LOUIS	67142
162	FOUCHY	67143
163	FRIEDOLSHEIM	67145
164	FRIESENHEIM	67146
165	FROESCHWILLER	67147
166	FROHMUHL	67148
167	FURCHHAUSEN	67149
168	FURDENHEIM	67150
169	GAMBSHEIM	67151
170	GEISPOLSHEIM	67152
171	GEISWILLER	67153
172	GERSTHEIM	67154
173	GERTWILLER	67155
174	GEUDERTHEIM	67156
175	GIMBRETT	67157
176	GINGSHEIM	67158
177	GOERLINGEN	67159
178	GOERSDORF	67160
179	GOTTENHOUSE	67161
180	GOTTESHEIM	67162
181	GOUGENHEIM	67163
182	GOXWILLER	67164
183	GRANDFONTAINE	67165
184	GRASSENDORF	67166
185	GRENDELBRUCH	67167
186	GRESSWILLER	67168
187	GRIES	67169
188	GRIESBACH	67170
189	GRIESBACH LE BASTBERG	67171
190	GRIESHEIM PRES MOLSHEIM	67172
191	GRIESHEIM SUR SOUFFEL	67173
192	GUMBRECHTSHOFFEN	67174
193	GUNDERSHOFFEN	67176
194	GUNGWILLER	67178
195	GUNSTETT	67177
196	HAEGEN	67179
197	HAGUENAU	67180
198	HANDSCHUHEIM	67181
199	HANGENBIETEN	67182
200	HARSKIRCHEN	67183
201	HATTEN	67184
202	HATTMATT	67185
203	HEGENEY	67186
204	HEIDOLSHEIM	67187
205	HEILIGENBERG	67188
206	HEILIGENSTEIN	67189
207	HENGWILLER	67190
208	HERBITZHEIM	67191
209	HERBSHEIM	67192
210	HERMERSWILLER	67193
211	HERRLISHEIM	67194
212	HESSENHEIM	67195
213	HILSENHEIM	67196
214	HINDISHEIM	67197
215	HINSBOURG	67198
216	HINSINGEN	67199
217	HIPSHEIM	67200
218	HIRSCHLAND	67201
219	HOCHFELDEN	67202
220	HOCHSTETT	67203
221	HOERDT	67205
222	HOFFEN	67206
223	HOHATZENHEIM	67207
224	HOHENGOEFT	67208
225	HOHFRANKENHEIM	67209
226	LE HOHWALD	67210
227	HOHWILLER	67211
228	HOLTZHEIM	67212
229	HUNSPACH	67213
230	HURTIGHEIM	67214
231	HUTTENDORF	67215
232	HUTTENHEIM	67216
233	ICHTRATZHEIM	7
234	IMBSHEIM	67219
235	INGENHEIM	67220
236	INGOLSHEIM	67221
237	INGWILLER	67222
238	INNENHEIM	67223
239	IRMSTETT	67224
240	ISSENHAUSEN	67225
241	ITTENHEIM	67226
242	ITTERSWILLER	67227
243	JETTERSWILLER	67229
244	KALTENHOUSE	67230
245	KAUFFENHEIM	67231
246	KEFFENACH	67232
247	KERTZFELD	67233
248	KESKASTEL	67234
249	KESSELDORF	67235
250	KIENHEIM	67236
251	KILSTETT	67237
252	KINDWILLER	67238
253	KINTZHEIM	67239
254	KIRCHHEIM	67240
255	KIRRBERG	67241
256	KIRRWILLER BOSSELSHAUSEN	67242
257	KLEINFRANKENHEIM	67243
258	KLEINGOEFT	67244
259	KNOERSHEIM	67245
260	KOGENHEIM	67246
261	KOLBSHEIM	67247
262	KRAUTERGERSHEIM	67248
263	KRAUTWILLER	67249
264	KRIEGSHEIM	67250
265	KUHLENDORF	67251
266	KURTZENHOUSE	67252
267	KUTTOLSHEIM	67253
268	KUTZENHAUSEN	67254
269	LA PETITE PIERRE	67371
270	LA VANCELLE	67505
271	LA WALCK	67512
272	LABROQUE	67066
273	LALAYE	67255
274	LAMPERTHEIM	67256
275	LAMPERTSLOCH	67257
276	LANDERSHEIM	67258
277	LANGENSOULTZBACH	67259
278	LAUBACH	67260
279	LAUTERBOURG	67261
281	LEITERSWILLER	67262
282	LEMBACH	67263
283	LEUTENHEIM	67264
284	LICHTENBERG	67265
285	LIMERSHEIM	67266
286	LIPSHEIM	67268
287	LITTENHEIM	67269
288	LIXHAUSEN	67270
289	LOBSANN	67271
290	LOCHWILLER	67272
291	LOHR	67273
292	LORENTZEN	67274
293	LUPSTEIN	67275
294	LUTZELHOUSE	67276
295	MACKENHEIM	67277
296	MACKWILLER	67278
297	MAENNOLSHEIM	67279
298	MAISONSGOUTTE	67280
299	MARCKOLSHEIM	67281
300	MARLENHEIM	67282
301	MARMOUTIER	67283
302	MATTSTAL	67284
303	MATZENHEIM	67285
304	MEISTRATZHEIM	67286
305	MELSHEIM	67287
306	MEMMELSHOFFEN	67288
307	MENCHHOFFEN	67289
308	MERKWILLER PECHELBRONN	67290
309	MERTZWILLER	67291
310	MIETESHEIM	67292
311	MINVERSHEIM	67293
312	MITSCHDORF	67294
313	MITTELBERGHEIM	67295
314	MITTELHAUSBERGEN	67296
315	MITTELHAUSEN	67297
316	MITTELSCHAEFFOLSHEIM	67298
317	MOLLKIRCH	67299
318	MOLSHEIM	67300
319	MOMMENHEIM	67301
320	MONSWILLER	67302
321	MORSBRONN LES BAINS	67303
322	MORSCHWILLER	67304
323	MOTHERN	67305
324	MUHLBACH SUR BRUCHE	67306
325	MULHAUSEN	67307
326	MUNCHHAUSEN	67308
328	MUSSIG	67310
329	MUTTERSHOLTZ	67311
330	MUTZENHOUSE	67312
331	MUTZIG	67313
332	NATZWILLER	67314
333	NEEWILLER LAUTERBOURG	67315
334	NEHWILLER	67316
335	NEUBOIS	67317
336	NEUGARTHEIM	67318
337	NEUHAEUSEL	67319
338	NEUVE EGLISE	67320
339	NEUVILLER LA ROCHE	67321
340	NEUWILLER LES SAVERNE	67322
341	NIEDERBRONN LES BAINS	67324
342	NIEDERHASLACH	67325
343	NIEDERHAUSBERGEN	67326
344	NIEDERLAUTERBACH	67327
345	NIEDERMODERN	67328
346	NIEDERNAI	67329
347	NIEDERROEDERN	67330
348	NIEDERSCHAEFFOLSHEIM	67331
349	NIEDERSEEBACH	67332
350	NIEDERSOULTZBACH	67333
351	NIEDERSTEINBACH	67334
352	NORDHEIM	67335
353	NORDHOUSE	67336
354	NOTHALTEN	67337
355	OBENHEIM	67338
356	OBERBRONN ZINSWILLER	67340
357	OBERDORF SPACHBACH	67341
358	OBERHASLACH	67342
359	OBERHAUSBERGEN	67343
360	OBERHOFFEN LES WISSEMBOURG	67344
361	OBERHOFFEN SUR MODER	67345
362	OBERLAUTERBACH	67346
363	OBERMODERN	67347
364	OBERNAI	67348
365	OBERROEDERN	67349
366	OBERSCHAEFFOLSHEIM	67350
367	OBERSOULTZBACH	67352
368	OBERSTEINBACH	67353
369	ODRATZHEIM	67354
370	OERMINGEN	67355
371	OFFENDORF	67356
372	OFFWILLER	67358
373	OHLUNGEN	67359
374	OHNENHEIM	67360
375	OLWISHEIM	67361
376	ORSCHWILLER	67362
377	OSTHOFFEN	67363
378	OSTHOUSE	67364
379	OTTERSTHAL	67366
380	OTTERSWILLER	67367
381	OTTROTT	67368
382	OTTWILLER	67369
383	PETERSBACH	67370
384	PFAFFENHOFFEN	67372
385	PFALZWEYER	67373
386	PFETTISHEIM	67374
387	PFULGRIESHEIM	67375
388	PLAINE	67377
389	PLOBSHEIM	67378
390	PREUSCHDORF	67379
391	PRINTZHEIM	67380
392	PUBERG	67381
393	QUATZENHEIM	67382
394	RANGEN	67383
395	RANRUPT	67384
396	RATZWILLER	67385
397	RAUWILLER	67386
398	REICHSFELD	67387
399	REICHSHOFFEN	67388
400	REIMERSWILLER	67457
401	REINHARDSMUNSTER	67391
402	REIPERTSWILLER	67392
403	REITWILLER	67393
404	RETSCHWILLER	67394
405	REUTENBOURG	67395
406	REXINGEN	67396
407	RHINAU	67397
408	RICHTOLSHEIM	67398
409	RIEDHEIM	67399
410	RIEDSELTZ	67400
411	RIMSDORF	67401
412	RINGELDORF	67402
413	RINGENDORF	67403
414	RITTERSHOFFEN	67404
415	ROESCHWOOG	67405
416	ROHR	67406
417	ROHRWILLER	67407
